ANIMAL  MOTHER  FATHER
AGP03049        AGF99034        AGM99072
AGP98046        AGF96025        AGM97029
AGP01087        AGF99043        AGM95051
AGP96109        AGF96023        AGM95074
AGP01036        AGF99034        AGM00004
AGP97025        AGF96025        AGM94041
AGP02078        AGF99043        AGM01167
AGP03122        AGF99043        AGM01129
AGP02094        AGF00079        AGM97029
AGP03013        AGF95124        AGM97029
AGP01109        AGF96025        AGM97029
AGP96056        AGF94100        AGM95051
AGP96155        AGF01014        AGM95051
AGP99059        AGF01014        AGM95051
AGP01088        AGF01014        AGM95051
AGP02006        AGF02001        AGM01101
AGP02054        AGF99016        AGM01146
AGP96172        AGF94046        AGM96034
AGP97027        AGF94057        AGM96075
AGP97086        AGF96046        AGM96111
AGP97085        AGF96050        AGM96108
AGP01026        AGF94131        AGM99074
AGP00091        AGF96046        AGM95119
AGP02003        AGF01003        AGM00105
HI1     NA      NA
HI8     NA      NA
HI6     NA      NA
HI13    NA      NA
ID137589        NA      NA
HI15    NA      NA
KI13    NA      NA
KI12    NA      NA
KI16    NA      NA
KI19    NA      NA
MI2241  NA      NA
KI20    NA      NA
MI2245  NA      NA
MI2257  NA      NA
MI2266  NA      NA
MI2263  NA      NA
BI9     NA      NA
ID137556        NA      NA
ID137549        NA      NA
BI11    NA      NA
BI15    NA      NA
BI13    NA      NA
BI20    NA      NA
id137526        NA      NA
ID137584        NA      NA
id137564        NA      NA
